title,authors,groups,keywords,topics,abstract,Text,Clean_Text,Cluster,TSNE-1,TSNE-2
A Support-Based Algorithm for the Bi-Objective Pareto Constraint,Renaud Hartert and Pierre Schaus,Search and Constraint Satisfaction (SCS),"Constraint Programming
Bi-Objective Combinatorial Optimization
Global Constraint
Pareto Constraint","SCS: Constraint Satisfaction
SCS: Constraint Optimization
SCS: Global Constraints","Bi-objective combinatorial optimization problems are ubiquitous in real-world applications and designing approaches to solve them efficiently is an important research area of Artificial Intelligence. In Constraint Programming, the recently introduced bi-objective Pareto constraint allows one to solve bi-objective combinatorial optimization problems exactly. Using this constraint, every non-dominated solution is collected in a single tree-search while pruning sub-trees that cannot lead to a non-dominated solution. This paper introduces a simpler and more efficient filtering algorithm for the bi-objective Pareto constraint. The efficiency of our algorithm is experimentally confirmed on classical bi-objective benchmarks.","A Support-Based Algorithm for the Bi-Objective Pareto Constraint Bi-objective combinatorial optimization problems are ubiquitous in real-world applications and designing approaches to solve them efficiently is an important research area of Artificial Intelligence. In Constraint Programming, the recently introduced bi-objective Pareto constraint allows one to solve bi-objective combinatorial optimization problems exactly. Using this constraint, every non-dominated solution is collected in a single tree-search while pruning sub-trees that cannot lead to a non-dominated solution. This paper introduces a simpler and more efficient filtering algorithm for the bi-objective Pareto constraint. The efficiency of our algorithm is experimentally confirmed on classical bi-objective benchmarks. Constraint Programming
Bi-Objective Combinatorial Optimization
Global Constraint
Pareto Constraint",supportbas algorithm biobject pareto constraint biobject combinatori optim problem ubiquit realworld applic design approach solv effici import research area artifici intellig constraint program recent introduc biobject pareto constraint allow one solv biobject combinatori optim problem exact use constraint everi nondomin solut collect singl treesearch prune subtre cannot lead nondomin solut paper introduc simpler effici filter algorithm biobject pareto constraint effici algorithm experiment confirm classic biobject benchmark constraint program biobject combinatori optim global constraint pareto constraint,3,-4.0064135,5.2912793
HC-Search for Multi-Label Prediction: An Empirical Study,"Janardhan Rao Doppa, Jun Yu, Chao Ma, Alan Fern and Prasad Tadepalli",Novel Machine Learning Algorithms (NMLA),"Supervised Learning
Multi-Label Classification
Structured Prediction",NMLA: Supervised Learning (Other),"Multi-label learning concerns learning multiple, overlapping, and correlated classes. In this paper, we adapt a recent structured prediction framework called HC-Search for multi-label prediction problems. One of the main advantages of this framework is that its training is sensitive to the loss function, unlike the other multi-label approaches that either assume a specific loss function or require a manual adaptation to each loss function. We empirically evaluate our instantiation of the HC-Search framework along with many existing multi-label learning algorithms on a variety of benchmarks by employing diverse task loss functions. Our results demonstrate that the performance of existing algorithms tends to be very similar in most cases, and that the HC-Search approach is comparable and often better than all other algorithms across different loss functions.","HC-Search for Multi-Label Prediction: An Empirical Study Multi-label learning concerns learning multiple, overlapping, and correlated classes. In this paper, we adapt a recent structured prediction framework called HC-Search for multi-label prediction problems. One of the main advantages of this framework is that its training is sensitive to the loss function, unlike the other multi-label approaches that either assume a specific loss function or require a manual adaptation to each loss function. We empirically evaluate our instantiation of the HC-Search framework along with many existing multi-label learning algorithms on a variety of benchmarks by employing diverse task loss functions. Our results demonstrate that the performance of existing algorithms tends to be very similar in most cases, and that the HC-Search approach is comparable and often better than all other algorithms across different loss functions. Supervised Learning
Multi-Label Classification
Structured Prediction",hcsearch multilabel predict empir studi multilabel learn concern learn multipl overlap correl class paper adapt recent structur predict framework call hcsearch multilabel predict problem one main advantag framework train sensit loss function unlik multilabel approach either assum specif loss function requir manual adapt loss function empir evalu instanti hcsearch framework along mani exist multilabel learn algorithm varieti benchmark employ divers task loss function result demonstr perform exist algorithm tend similar case hcsearch approach compar often better algorithm across differ loss function supervis learn multilabel classif structur predict,6,-5.95216,-12.035398
Semi-supervised Matrix Completion for Cross-Lingual Text Classification,Min Xiao and Yuhong Guo,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","cross lingual classification
semi-supervised learning
matrix completion","MLA: Machine Learning Applications (General/other)
NMLA: Classification
NMLA: Semisupervised Learning","Cross-lingual text classification is the task of assigning labels to a given document in a label-scarce target language by using a prediction model trained with labeled documents from a label-rich source language, which is popularly studied in the natural language processing area as it can largely decrease the expensive manual annotation effort in the target language. In this work, we proposed a novel semi-supervised representation learning approach to address this challenging task, which discovers interlingual features by simultaneously performing semi-supervised matrix completion. To evaluate the proposed learning technique, we conducted extensive experiments on eighteen cross language sentiment classification tasks with four different languages. The empirical results demonstrated the efficacy of our approach and outperformed the other comparison methods.","Semi-supervised Matrix Completion for Cross-Lingual Text Classification Cross-lingual text classification is the task of assigning labels to a given document in a label-scarce target language by using a prediction model trained with labeled documents from a label-rich source language, which is popularly studied in the natural language processing area as it can largely decrease the expensive manual annotation effort in the target language. In this work, we proposed a novel semi-supervised representation learning approach to address this challenging task, which discovers interlingual features by simultaneously performing semi-supervised matrix completion. To evaluate the proposed learning technique, we conducted extensive experiments on eighteen cross language sentiment classification tasks with four different languages. The empirical results demonstrated the efficacy of our approach and outperformed the other comparison methods. cross lingual classification
semi-supervised learning
matrix completion",semisupervis matrix complet crosslingu text classif crosslingu text classif task assign label given document labelscarc target languag use predict model train label document labelrich sourc languag popular studi natur languag process area larg decreas expens manual annot effort target languag work propos novel semisupervis represent learn approach address challeng task discov interlingu featur simultan perform semisupervis matrix complet evalu propos learn techniqu conduct extens experi eighteen cross languag sentiment classif task four differ languag empir result demonstr efficaci approach outperform comparison method cross lingual classif semisupervis learn matrix complet,6,-9.269544,-7.373244
Approximate Lifting Techniques for Belief Propagation,"Parag Singla, Aniruddh Nath and Pedro Domingos",Reasoning under Uncertainty (RU),"Lifted Inference
Belief Propagation
Graphical Models","RU: Graphical Models (Other)
RU: Probabilistic Inference
RU: Relational Probabilistic Models","Many AI applications need to explicitly represent the relational structure as well as handle uncertainty. First order probabilistic models combine the power of logic and probability to deal with such domains. A naive approach to inference in these models is to propositionalize the whole theory and carry out the inference on the ground network. Lifted inference techniques (such as Lifted Belief Propagation; Singla & Domingos, 2008) provide a scalable approach to inference by combining together groups of objects which behave identically. In many cases, constructing the lifted network can itself be quite costly. In addition, the exact lifted network is often very close in size to the fully propositionalized model. To overcome these problems, we present approximate lifted inference, which groups together similar but distinguishable objects and treats them as if they were identical. Early stopping terminates the execution of the lifted network construction at an early stage resulting in a coarser network. Noise tolerant hypercubes allow for marginal errors in the representation of the lifted network itself. Both of our algorithms can significantly speed-up the process of lifted network construction as well as result in much smaller models. The coarseness of the approximation can be adjusted depending on the accuracy required, and we can bound the resulting error. Extensive evaluation on six domains demonstrates great efficiency gains with only minor (or no) loss in accuracy.","Approximate Lifting Techniques for Belief Propagation Many AI applications need to explicitly represent the relational structure as well as handle uncertainty. First order probabilistic models combine the power of logic and probability to deal with such domains. A naive approach to inference in these models is to propositionalize the whole theory and carry out the inference on the ground network. Lifted inference techniques (such as Lifted Belief Propagation; Singla & Domingos, 2008) provide a scalable approach to inference by combining together groups of objects which behave identically. In many cases, constructing the lifted network can itself be quite costly. In addition, the exact lifted network is often very close in size to the fully propositionalized model. To overcome these problems, we present approximate lifted inference, which groups together similar but distinguishable objects and treats them as if they were identical. Early stopping terminates the execution of the lifted network construction at an early stage resulting in a coarser network. Noise tolerant hypercubes allow for marginal errors in the representation of the lifted network itself. Both of our algorithms can significantly speed-up the process of lifted network construction as well as result in much smaller models. The coarseness of the approximation can be adjusted depending on the accuracy required, and we can bound the resulting error. Extensive evaluation on six domains demonstrates great efficiency gains with only minor (or no) loss in accuracy. Lifted Inference
Belief Propagation
Graphical Models",approxim lift techniqu belief propag mani ai applic need explicit repres relat structur well handl uncertainti first order probabilist model combin power logic probabl deal domain naiv approach infer model proposition whole theori carri infer ground network lift infer techniqu lift belief propag singla domingo 2008 provid scalabl approach infer combin togeth group object behav ident mani case construct lift network quit cost addit exact lift network often close size fulli proposition model overcom problem present approxim lift infer group togeth similar distinguish object treat ident earli stop termin execut lift network construct earli stage result coarser network nois toler hypercub allow margin error represent lift network algorithm signific speedup process lift network construct well result much smaller model coars approxim adjust depend accuraci requir bound result error extens evalu six domain demonstr great effici gain minor loss accuraci lift infer belief propag graphic model,5,-8.153299,2.824283
Cost-Based Query Optimization via AI Planning,"Nathan Robinson, Sheila Mcilraith and David Toman","Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)","relational query optimization
delete-free planning
cost-optimal planning
heuristic search
applications of planning","KRR: Knowledge Representation (General/Other)
PS: Deterministic Planning
PS: Planning (General/Other)","The generation of high quality query plans is at the heart of query processing in traditional database management systems as well as in heterogeneous distributed data sources on corporate intranets and in the cloud. A diversity of techniques are employed for query plan generation and optimization, many of them proprietary. In this paper we revisit the problem of generating a query plan using AI automated planning. Characterizing query planning as AI planning enables us to leverage state-of-the-art planning techniques -- techniques which have proven to be highly effective for a diversity of dynamical reasoning tasks. While our long-term view is broad, here our efforts focus on the specific problem of cost-based join-order optimization, a central component of production-quality query optimizers. We characterize the general query planning problem as a delete-free planning problem, and query plan optimization as a context-sensitive cost-optimal planning problem. We propose algorithms that generate high quality query plans, guaranteeing optimality under certain conditions. Our approach is general, supporting the use of a broad suite of domain-independent and domain-specific optimization criteria. Experimental results demonstrate the effectiveness of AI planning techniques for query plan generation and optimization.","Cost-Based Query Optimization via AI Planning The generation of high quality query plans is at the heart of query processing in traditional database management systems as well as in heterogeneous distributed data sources on corporate intranets and in the cloud. A diversity of techniques are employed for query plan generation and optimization, many of them proprietary. In this paper we revisit the problem of generating a query plan using AI automated planning. Characterizing query planning as AI planning enables us to leverage state-of-the-art planning techniques -- techniques which have proven to be highly effective for a diversity of dynamical reasoning tasks. While our long-term view is broad, here our efforts focus on the specific problem of cost-based join-order optimization, a central component of production-quality query optimizers. We characterize the general query planning problem as a delete-free planning problem, and query plan optimization as a context-sensitive cost-optimal planning problem. We propose algorithms that generate high quality query plans, guaranteeing optimality under certain conditions. Our approach is general, supporting the use of a broad suite of domain-independent and domain-specific optimization criteria. Experimental results demonstrate the effectiveness of AI planning techniques for query plan generation and optimization. relational query optimization
delete-free planning
cost-optimal planning
heuristic search
applications of planning",costbas queri optim via ai plan generat high qualiti queri plan heart queri process tradit databas manag system well heterogen distribut data sourc corpor intranet cloud divers techniqu employ queri plan generat optim mani proprietari paper revisit problem generat queri plan use ai autom plan character queri plan ai plan enabl us leverag stateoftheart plan techniqu techniqu proven high effect divers dynam reason task longterm view broad effort focus specif problem costbas joinord optim central compon productionqu queri optim character general queri plan problem deletefre plan problem queri plan optim contextsensit costoptim plan problem propos algorithm generat high qualiti queri plan guarante optim certain condit approach general support use broad suit domainindepend domainspecif optim criteria experiment result demonstr effect ai plan techniqu queri plan generat optim relat queri optim deletefre plan costoptim plan heurist search applic plan,8,-3.0327582,19.38346
Efficient buyer groups for prediction-of-use electricity tariffs,"Valentin Robu, Meritxell Vinyals, Alex Rogers and Nick Jennings","Computational Sustainability and AI (CSAI)
Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","electricity tariff
group buying
smart grid","CSAI: Modeling the interactions of agents with different and often conflicting interests
CSAI: Support for public engagement and decision making by the public
GTEP: Coordination and Collaboration
MAS: Coordination and Collaboration
MAS: Evaluation and Analysis (Multiagent Systems)","Current electricity tariffs do not reflect the real cost that customers incur to suppliers, as units are charged at the same rate, regardless of how predictable each customer's consumption is. A recent proposal to address this problem are prediction-of-use tariffs. In such tariffs, a customer is asked in advance to predict her future consumption, and is charged based both on her actual consumption and the deviation from her prediction. Prior work studied the cost game induced by a single such tariff, and showed consumers would have an incentive to minimize their risk, by joining together when buying electricity as a grand coalition. In this work we study the efficient (i.e. cost-minimizing) structure of buying groups for the more realistic setting when multiple, competing prediction-of-use tariffs are available. We propose a polynomial time algorithm to compute efficient buyer groups, and validate our approach experimentally, using a large-scale data set of domestic electricity consumers in the UK.","Efficient buyer groups for prediction-of-use electricity tariffs Current electricity tariffs do not reflect the real cost that customers incur to suppliers, as units are charged at the same rate, regardless of how predictable each customer's consumption is. A recent proposal to address this problem are prediction-of-use tariffs. In such tariffs, a customer is asked in advance to predict her future consumption, and is charged based both on her actual consumption and the deviation from her prediction. Prior work studied the cost game induced by a single such tariff, and showed consumers would have an incentive to minimize their risk, by joining together when buying electricity as a grand coalition. In this work we study the efficient (i.e. cost-minimizing) structure of buying groups for the more realistic setting when multiple, competing prediction-of-use tariffs are available. We propose a polynomial time algorithm to compute efficient buyer groups, and validate our approach experimentally, using a large-scale data set of domestic electricity consumers in the UK. electricity tariff
group buying
smart grid",effici buyer group predictionofus electr tariff current electr tariff reflect real cost custom incur supplier unit charg rate regardless predict custom consumpt recent propos address problem predictionofus tariff tariff custom ask advanc predict futur consumpt charg base actual consumpt deviat predict prior work studi cost game induc singl tariff show consum would incent minim risk join togeth buy electr grand coalit work studi effici ie costminim structur buy group realist set multipl compet predictionofus tariff avail propos polynomi time algorithm comput effici buyer group valid approach experiment use largescal data set domest electr consum uk electr tariff group buy smart grid,0,7.033031,9.724395
Distribution-Aware Sampling and Weighted Model Counting for SAT,"Supratik Chakraborty, Daniel J. Fremont, Kuldeep S. Meel, Sanjit A. Seshia and Moshe Vardi",Search and Constraint Satisfaction (SCS),"Weighted Model Counting
Weight Generation
SAT","SCS: SAT and CSP: Evaluation and Analysis
SCS: SAT and CSP: Solvers and Tools
SCS: Satisfiability (General/Other)","Given a CNF formula and a weight for each assignment of values to
variables, two natural problems are weighted model counting and
distribution-aware sampling of satisfying assignments.  Both problems 
have a wide variety of important applications.  Due to the inherent
complexity of the exact versions of the problems, interest has focused
on solving them approximately.  Prior work in this area scaled only to
small problems in practice, or failed to provide strong theoretical
guarantees, or employed a computationally-expensive maximum a poste-
riori probability (MAP) oracle that assumes prior knowledge of a
factored representation of the weight distribution.  We present a
novel approach that works with a black-box oracle for weights of
assignments and requires only an {\NP}-oracle to solve both the
counting and sampling problems.  Our approach works 
under mild assumptions on the distribution of weights of satisfying
assignments, provides strong theoretical guarantees, and scales to
problems involving several thousand variables. We also show that the
assumptions can be significantly relaxed if a factored representation 
of the weights is known.","Distribution-Aware Sampling and Weighted Model Counting for SAT Given a CNF formula and a weight for each assignment of values to
variables, two natural problems are weighted model counting and
distribution-aware sampling of satisfying assignments.  Both problems 
have a wide variety of important applications.  Due to the inherent
complexity of the exact versions of the problems, interest has focused
on solving them approximately.  Prior work in this area scaled only to
small problems in practice, or failed to provide strong theoretical
guarantees, or employed a computationally-expensive maximum a poste-
riori probability (MAP) oracle that assumes prior knowledge of a
factored representation of the weight distribution.  We present a
novel approach that works with a black-box oracle for weights of
assignments and requires only an {\NP}-oracle to solve both the
counting and sampling problems.  Our approach works 
under mild assumptions on the distribution of weights of satisfying
assignments, provides strong theoretical guarantees, and scales to
problems involving several thousand variables. We also show that the
assumptions can be significantly relaxed if a factored representation 
of the weights is known. Weighted Model Counting
Weight Generation
SAT",distributionawar sampl weight model count sat given cnf formula weight assign valu variabl two natur problem weight model count distributionawar sampl satisfi assign problem wide varieti import applic due inher complex exact version problem interest focus solv approxim prior work area scale small problem practic fail provid strong theoret guarante employ computationallyexpens maximum post riori probabl map oracl assum prior knowledg factor represent weight distribut present novel approach work blackbox oracl weight assign requir nporacl solv count sampl problem approach work mild assumpt distribut weight satisfi assign provid strong theoret guarante scale problem involv sever thousand variabl also show assumpt signific relax factor represent weight known weight model count weight generat sat,5,10.897112,-14.091077
Online and Stochastic Learning with a Human Cognitive Bias,Hidekazu Oiwa and Hiroshi Nakagawa,"Human-Computation and Crowd Sourcing (HCC)
Novel Machine Learning Algorithms (NMLA)","Machine Learning
Human Cognitive Bias
Online Learning
Stochastic Learning
Endowment effect","HCC: Optimality in the context of human computation
NMLA: Classification
NMLA: Online Learning","Sequential learning for classification tasks is an effective tool in the machine learning community. In sequential learning settings, algorithms sometimes make incorrect predictions on data that were correctly classified in the past. This paper explicitly deals with such inconsistent prediction behavior. Our main contributions are 1) to experimentally show its effect for user utilities as a human cognitive bias, 2) to formalize a new framework by internalizing this bias into the optimization problem, 3) to develop new algorithms without memorization of the past prediction history, and 4) to show some theoretical guarantees of our derived algorithm for both online and stochastic learning settings. Our experimental results show the superiority of the derived algorithm for problems involving human cognition.","Online and Stochastic Learning with a Human Cognitive Bias Sequential learning for classification tasks is an effective tool in the machine learning community. In sequential learning settings, algorithms sometimes make incorrect predictions on data that were correctly classified in the past. This paper explicitly deals with such inconsistent prediction behavior. Our main contributions are 1) to experimentally show its effect for user utilities as a human cognitive bias, 2) to formalize a new framework by internalizing this bias into the optimization problem, 3) to develop new algorithms without memorization of the past prediction history, and 4) to show some theoretical guarantees of our derived algorithm for both online and stochastic learning settings. Our experimental results show the superiority of the derived algorithm for problems involving human cognition. Machine Learning
Human Cognitive Bias
Online Learning
Stochastic Learning
Endowment effect",onlin stochast learn human cognit bias sequenti learn classif task effect tool machin learn communiti sequenti learn set algorithm sometim make incorrect predict data correct classifi past paper explicit deal inconsist predict behavior main contribut 1 experiment show effect user util human cognit bias 2 formal new framework intern bias optim problem 3 develop new algorithm without memor past predict histori 4 show theoret guarante deriv algorithm onlin stochast learn set experiment result show superior deriv algorithm problem involv human cognit machin learn human cognit bias onlin learn stochast learn endow effect,4,0.9497026,-13.52203
Adaptive Singleton-based Consistencies,"Amine Balafrej, Christian Bessiere, Gilles Trombettoni and El Houssine Bouyakhf",Search and Constraint Satisfaction (SCS),"CSP
Singleton-based Consistencies
Adaptive Consistencies",SCS: Constraint Satisfaction,"Singleton-based consistencies have been shown to dramatically
   improve the performance of constraint solvers on some difficult
   instances. However, they are in general too expensive to be applied
   exhaustively during the whole search. In this paper, we focus on
   partition-one-AC, a singleton-based consistency which, as opposed
   to singleton arc consistency, is able to prune values on all
   variables at each singleton test.
   We propose adaptive variants of partition-one-AC that do not
   necessarily run until having proved the fixpoint. The pruning
   can be weaker than the full version but the computational effort
   can be significantly reduced. Our experiments
   show that adaptive Partition-one-AC can obtain significant speedups over arc
   consistency and over the full version of partition-one-AC.","Adaptive Singleton-based Consistencies Singleton-based consistencies have been shown to dramatically
   improve the performance of constraint solvers on some difficult
   instances. However, they are in general too expensive to be applied
   exhaustively during the whole search. In this paper, we focus on
   partition-one-AC, a singleton-based consistency which, as opposed
   to singleton arc consistency, is able to prune values on all
   variables at each singleton test.
   We propose adaptive variants of partition-one-AC that do not
   necessarily run until having proved the fixpoint. The pruning
   can be weaker than the full version but the computational effort
   can be significantly reduced. Our experiments
   show that adaptive Partition-one-AC can obtain significant speedups over arc
   consistency and over the full version of partition-one-AC. CSP
Singleton-based Consistencies
Adaptive Consistencies",adapt singletonbas consist singletonbas consist shown dramat improv perform constraint solver difficult instanc howev general expens appli exhaust whole search paper focus partitiononeac singletonbas consist oppos singleton arc consist abl prune valu variabl singleton test propos adapt variant partitiononeac necessarili run prove fixpoint prune weaker full version comput effort signific reduc experi show adapt partitiononeac obtain signific speedup arc consist full version partitiononeac csp singletonbas consist adapt consist,5,-2.5464106,1.2447112
Scheduling for Transfers in Pickup and Delivery Problems with Very Large Neighborhood Search,Brian Coltin and Manuela Veloso,Planning and Scheduling (PS),"scheduling
transfers
PDP","HSO: Heuristic Search
HSO: Metareasoning and Metaheuristics
PS: Scheduling","In pickup and delivery problems (PDPs), vehicles pick up and deliver a set of items under various constraints. We extend the well-studied PDP by allowing vehicles to transfer items to and from one another. By scheduling transfers, the fleet of vehicles can deliver the items faster and at lower cost. We introduce the Very Large Neighborhood Search with Transfers (VLNS-T) algorithm to form schedules for PDPs with transfers. We show that VLNS-T algorithm makes use of transfers to improve upon the best known solutions for selected benchmark problems, and demonstrate its effectiveness on real world taxi data in New York City.","Scheduling for Transfers in Pickup and Delivery Problems with Very Large Neighborhood Search In pickup and delivery problems (PDPs), vehicles pick up and deliver a set of items under various constraints. We extend the well-studied PDP by allowing vehicles to transfer items to and from one another. By scheduling transfers, the fleet of vehicles can deliver the items faster and at lower cost. We introduce the Very Large Neighborhood Search with Transfers (VLNS-T) algorithm to form schedules for PDPs with transfers. We show that VLNS-T algorithm makes use of transfers to improve upon the best known solutions for selected benchmark problems, and demonstrate its effectiveness on real world taxi data in New York City. scheduling
transfers
PDP",schedul transfer pickup deliveri problem larg neighborhood search pickup deliveri problem pdps vehicl pick deliv set item various constraint extend wellstudi pdp allow vehicl transfer item one anoth schedul transfer fleet vehicl deliv item faster lower cost introduc larg neighborhood search transfer vlnst algorithm form schedul pdps transfer show vlnst algorithm make use transfer improv upon best known solut select benchmark problem demonstr effect real world taxi data new york citi schedul transfer pdp,6,-15.147548,-7.2073054
Unsupervised Alignment of Natural Language Instructions with Video Segments,"Iftekhar Naim, Young Song, Qiguang Liu, Henry Kautz, Jiebo Luo and Daniel Gildea","Machine Learning Applications (MLA)
NLP and Machine Learning (NLPML)","Unsupervised Video Alignment
Grounded Language Acquisition
HMM
IBM Model 1
Language and Vision","MLA: Applications of Unsupervised Learning
NLPML: Natural Language Processing (General/Other)
VIS: Language and Vision","We propose an unsupervised learning algorithm for automatically inferring the mappings between English nouns and corresponding video objects. Given a sequence of natural language instructions and an unaligned video recording, we simultaneously align each instruction to its corresponding video segment, and also align nouns in each instruction to their corresponding objects in video. While existing grounded language acquisition algorithms rely on pre-aligned supervised data (each sentence paired with corresponding image frame or video segment), our algorithm aims to automatically infer the alignment from the temporal structure of the video and parallel text instructions. We propose two generative models that are closely related to the HMM and IBM 1 word alignment models used in statistical machine translation. We evaluate our algorithm on videos of biological experiments performed in wetlabs, and demonstrate its capability of aligning video segments to text instructions and matching video objects to nouns in the absence of any direct supervision.","Unsupervised Alignment of Natural Language Instructions with Video Segments We propose an unsupervised learning algorithm for automatically inferring the mappings between English nouns and corresponding video objects. Given a sequence of natural language instructions and an unaligned video recording, we simultaneously align each instruction to its corresponding video segment, and also align nouns in each instruction to their corresponding objects in video. While existing grounded language acquisition algorithms rely on pre-aligned supervised data (each sentence paired with corresponding image frame or video segment), our algorithm aims to automatically infer the alignment from the temporal structure of the video and parallel text instructions. We propose two generative models that are closely related to the HMM and IBM 1 word alignment models used in statistical machine translation. We evaluate our algorithm on videos of biological experiments performed in wetlabs, and demonstrate its capability of aligning video segments to text instructions and matching video objects to nouns in the absence of any direct supervision. Unsupervised Video Alignment
Grounded Language Acquisition
HMM
IBM Model 1
Language and Vision",unsupervis align natur languag instruct video segment propos unsupervis learn algorithm automat infer map english noun correspond video object given sequenc natur languag instruct unalign video record simultan align instruct correspond video segment also align noun instruct correspond object video exist ground languag acquisit algorithm reli prealign supervis data sentenc pair correspond imag frame video segment algorithm aim automat infer align tempor structur video parallel text instruct propos two generat model close relat hmm ibm 1 word align model use statist machin translat evalu algorithm video biolog experi perform wetlab demonstr capabl align video segment text instruct match video object noun absenc direct supervis unsupervis video align ground languag acquisit hmm ibm model 1 languag vision,6,-20.298225,-0.11418656
Detecting information-dense texts in multiple news domains,Yinfei Yang and Ani Nenkova,"AI and the Web (AIW)
NLP and Knowledge Representation (NLPKR)
NLP and Machine Learning (NLPML)
NLP and Text Mining (NLPTM)","writing style
information-dense text
summarization","AIW: Human language technologies for web systems, including text summarization and machine translation
NLPKR: Semantics and Summarization
NLPML: Text Classification
NLPTM: Natural Language Processing (General/Other)","In this paper we introduce the task of identifying information-dense texts, which report important factual information in direct, succinct manner.  We describe a procedure that allows us to label automatically a large training corpus of New York Times texts. We train a classifier based on lexical, discourse and unlexicalized syntactic features and test its performance on a set of manually annotated articles from international relations, U.S. politics, sports and science domains. Our results indicate that the task is feasible and that  both syntactic and lexical features are highly predictive for the distinction. We observe considerable variation of prediction accuracy across domains and find that domain-specific models are more accurate.","Detecting information-dense texts in multiple news domains In this paper we introduce the task of identifying information-dense texts, which report important factual information in direct, succinct manner.  We describe a procedure that allows us to label automatically a large training corpus of New York Times texts. We train a classifier based on lexical, discourse and unlexicalized syntactic features and test its performance on a set of manually annotated articles from international relations, U.S. politics, sports and science domains. Our results indicate that the task is feasible and that  both syntactic and lexical features are highly predictive for the distinction. We observe considerable variation of prediction accuracy across domains and find that domain-specific models are more accurate. writing style
information-dense text
summarization",detect informationdens text multipl news domain paper introduc task identifi informationdens text report import factual inform direct succinct manner describ procedur allow us label automat larg train corpus new york time text train classifi base lexic discours unlexic syntact featur test perform set manual annot articl intern relat us polit sport scienc domain result indic task feasibl syntact lexic featur high predict distinct observ consider variat predict accuraci across domain find domainspecif model accur write style informationdens text summar,6,-6.4536376,-3.5247374
Smarter Than You Think: Acquiring Comparative Commonsense from the Web,"Niket Tandon, Gerard de Melo and Gerhard Weikum","AI and the Web (AIW)
NLP and Text Mining (NLPTM)","commonsense knowledge
information extraction
word sense disambiguation","AIW: Knowledge acquisition from the web
NLPTM: Information Extraction","This paper presents a method for automatically constructing a large comparative commonsense knowledge base from Big Data. The resulting knowledge base is semantically refined and organized. Our method is based on linear optimization methods to clean and consolidate the noisy input knowledge, while also inferring new information. Our method achieves a high precision while maintaining good coverage.","Smarter Than You Think: Acquiring Comparative Commonsense from the Web This paper presents a method for automatically constructing a large comparative commonsense knowledge base from Big Data. The resulting knowledge base is semantically refined and organized. Our method is based on linear optimization methods to clean and consolidate the noisy input knowledge, while also inferring new information. Our method achieves a high precision while maintaining good coverage. commonsense knowledge
information extraction
word sense disambiguation",smarter think acquir compar commonsens web paper present method automat construct larg compar commonsens knowledg base big data result knowledg base semant refin organ method base linear optim method clean consolid noisi input knowledg also infer new inform method achiev high precis maintain good coverag commonsens knowledg inform extract word sens disambigu,5,12.531421,-5.1439495
A reasoner for the RCC-5 and RCC-8 calculi extended with constants,"Stella Giannakopoulou, Charalampos Nikolaou and Manolis Koubarakis","Knowledge Representation and Reasoning (KRR)
Reasoning under Uncertainty (RU)
Search and Constraint Satisfaction (SCS)","Qualitative spatial reasoning
Constraint Satisfaction Problems
Landmarks","KRR: Computational Complexity of Reasoning
KRR: Geometric, Spatial, and Temporal Reasoning
KRR: Qualitative Reasoning
RU: Uncertainty in AI (General/Other)
SCS: Constraint Satisfaction","The problem of checking the consistency in qualitative calculi that contain both unknown and known entities (constants, i.e., real geometries) has recently appeared and has applications in many areas. Until now, all the approaches are theoretical and no implementation has been proposed. In this paper we present the first reasoner that takes as input RCC-5 or RCC-8 networks that involve entities with specific geometries and decides their consistency. We investigate the performance of the 
reasoner and contrary to lots of other works in this area we consider real datasets in our experimental analysis.","A reasoner for the RCC-5 and RCC-8 calculi extended with constants The problem of checking the consistency in qualitative calculi that contain both unknown and known entities (constants, i.e., real geometries) has recently appeared and has applications in many areas. Until now, all the approaches are theoretical and no implementation has been proposed. In this paper we present the first reasoner that takes as input RCC-5 or RCC-8 networks that involve entities with specific geometries and decides their consistency. We investigate the performance of the 
reasoner and contrary to lots of other works in this area we consider real datasets in our experimental analysis. Qualitative spatial reasoning
Constraint Satisfaction Problems
Landmarks",reason rcc5 rcc8 calculi extend constant problem check consist qualit calculi contain unknown known entiti constant ie real geometri recent appear applic mani area approach theoret implement propos paper present first reason take input rcc5 rcc8 network involv entiti specif geometri decid consist investig perform reason contrari lot work area consid real dataset experiment analysi qualit spatial reason constraint satisfact problem landmark,5,-5.0329256,10.861712
